Mountain,Route,Mileage,Elevation,Route Time
Mt. Sherman,Southwest Ridge,5.25 mi,2100',331200
Mt. Elbert,Northeast Ridge,9.00 mi,4700',13980
Capitol Peak,Northeast Ridge,17.00 mi,5300',52200
"Group: Evans, Sawtooth, Bierstadt",Bierstadt / Sawtooth / Evans,10.25 mi,3900',30600
Huron Peak,Northwest Slopes,10.65 mi,4285',28800
Humboldt Peak,West Ridge,17.00 mi,5180',34200
Mt. Sherman,Southwest Ridge,5.25 mi,2100',6960
Capitol Peak,Northeast Ridge,17.00 mi,5300',48600
"Group: Belford, Oxford",Standard Route,11.00 mi,5800',28200
Mt. Yale,Northwest Ridge,9.62 mi,4178',25200
Huron Peak,Northwest Slopes,11.00 mi,3800',19200
Mt. Harvard,South Slopes,13.50 mi,4600',24600
Missouri Mountain,Northwest Ridge,10.50 mi,4500',24300
Mt. Yale,Southwest Slopes,9.50 mi,4300',18000
"Group: Belford, Oxford",Standard,10.73 mi,5761',24720
"Group: Shavano, Tabeguache",Standard,10.91 mi,5232',26580
"Group: Democrat, Cameron, Lincoln, Bross",Standard,7.96 mi,3588',17880
Uncompahgre Peak,South Ridge,7.25 mi,3000',12000
Mt. Sneffels,Southwest Ridge,3.50 mi,1850',15240
Huron Peak,Northwest Slopes,10.00 mi,3600',22500
Tabeguache Peak,West Ridge from Jennings Creek,7.50 mi,3400',25200
Snowmass Mountain,West Slope,9.00 mi,4500',23400
La Plata Peak,Northwest Ridge,9.50 mi,4500',22500
Mt. Elbert,Northeast Ridge,9.00 mi,4700',13620
Mt. Princeton,East Slopes,7.00 mi,3400',17100
Quandary Peak,East Ridge,6.75 mi,3450',15000
Mt. Massive,East Slopes,13.60 mi,4531',23400
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron,7.00 mi,3504',12600
Mt. Harvard,South Slopes,13.50 mi,4600',28920
Mt. Bierstadt,West Slopes,7.00 mi,2850',18000
Mt. Massive,East Slopes,13.50 mi,4450',27600
Mt. Yale,Southwest Slopes,9.50 mi,4300',23400
Grays Peak,North Slopes,7.50 mi,3000',14400
Torreys Peak,Kelso Ridge,6.75 mi,3100',18600
Quandary Peak,East Ridge,6.75 mi,3450',18000
"Group: Democrat, Cameron, Lincoln, Bross",DeCaLiBro,7.25 mi,3700',13800
Pikes Peak,Barr Trail,13.00 mi,7400',24300
Challenger Point,North Slope,3.80 mi,2500',18000
Mt. Yale,Southwest Slopes,9.30 mi,4300',19920
Mt. Harvard,South Slopes,13.50 mi,4600',24000
Longs Peak,"loft up, keyhole down",13.50 mi,5300',37800
Castle Peak,Northeast Ridge,7.25 mi,3250',21600
Pikes Peak,Northwest Slopes,14.00 mi,4300',17400
Mt. Princeton,East Slopes,13.00 mi,5400',25200
Mt. Shavano,East Slopes,9.25 mi,4600',22200
Mt. Evans,Grey Wolf/Spalding drainage   ,12.00 mi,3200',25200
San Luis Peak,Northeast Ridge,12.56 mi,3726',19440
Mt. Sneffels,South Slopes,5.76 mi,2837',13920
La Plata Peak,Northwest Ridge,10.00 mi,4500',25200
"Group: Crestone Peak, Crestone Needle",South Face/Red Gully/South Colony lakes camp:,13.00 mi,5700',34200
Snowmass Mountain,West Slope,9.00 mi,4500',31500
"Group: Belford, Oxford, Missouri",Standards,14.00 mi,7300',32400
"Group: Belford, Oxford","Northwest Ridge (Belford), with saddle to Oxford",11.00 mi,5800',23400
Quandary Peak,East Ridge,6.75 mi,3450',14100
Sunshine Peak,Via Redcloud Peak,3.00 mi,1000',5400
Redcloud Peak,Northeast Ridge,9.60 mi,3650',20700
"Group: Grays, Torreys",Grays and Torreys combo,8.07 mi,3637',14640
Mt. Massive,Tour de Massive,16.43 mi,-,38793
"Group: Shavano, Tabeguache",Standard Route,11.25 mi,5600',25560
Mt. Yale,Southwest Slopes,9.00 mi,4200',745200
"Group: Harvard, Columbia",Standard the Southeast Ridge to car,17.70 mi,7200',24000
"Group: Democrat, Cameron, Lincoln, Bross",Standard Route,7.25 mi,3700',17460
"Group: Redcloud, Sunshine",Standard,12.00 mi,3700',32400
Windom Peak,West Ridge,10.50 mi,800',4500
Sunlight Peak,South Face,10.50 mi,1500',5760
Mt. Eolus,Chicago Basin Approach,10.50 mi,3000',324000
Group: Windom Group (4 named 14ers),Chicago Basin Standard routes,10.50 mi,5400',39600
"Group: Belford, Oxford",Belford-Oxford Standard Combo,11.00 mi,5800',26520
Mt. Lincoln,West Ridge,7.12 mi,3040',17280
"Group: Belford, Oxford, Missouri",Standard,14.50 mi,7200',21300
Mt. Massive,Standard,13.35 mi,4400',14220
Quandary Peak,East Ridge,6.75 mi,3450',13800
Humboldt Peak,West Ridge,12.25 mi,4100',691200
Longs Peak,Keyhole Route,14.09 mi,5903',29220
Grays Peak,North Slopes,7.50 mi,3000',6660
Longs Peak,Keyhole Route,15.00 mi,5100',41280
Mt. Massive,Southwest Slopes,8.00 mi,3950',16500
Quandary Peak,East Ridge,6.75 mi,3450',15900
Crestone Peak,South Face,13.25 mi,5750',47400
All Colorado 14ers,Various,-,-,348595272
Pikes Peak,Northwest Slopes,13.25 mi,4300',18600
Longs Peak,Keyhole Route,14.00 mi,5100',36000
Uncompahgre Peak,South Ridge,7.60 mi,3300',18000
Wetterhorn Peak,Southeast Ridge,7.80 mi,4400',24300
"Group: Castle, Conundrum","NE Ridge (up), Traverse, NW Ridge (descent).  From first creek crossing",11.00 mi,4500',26520
Mt. Columbia,West Slopes,11.50 mi,4250',32640
Culebra Peak,Northwest Ridge,4.80 mi,2347',18000
"Group: Challenger, Kit Carson",willow lake,3.40 mi,2601',25800
Capitol Peak,Northeast Ridge,4.40 mi,2630',32400
Longs Peak,Keyhole Route,15.00 mi,5100',32400
Grays Peak,North Slopes,7.50 mi,3000',11040
San Luis Peak,South Ridge,11.00 mi,3700',21960
Handies Peak,East Slopes,8.00 mi,3650',12868
Uncompahgre Peak,South Ridge,11.50 mi,3600',18720
Wetterhorn Peak,Southeast Ridge,7.00 mi,3300',19210
"Group: Democrat, Cameron, Lincoln, Bross",Kite Lake,7.25 mi,3700',16200
Mt. Elbert,West Face,10.00 mi,4300',12300
"Group: Grays, Torreys",Grays Peak Trailhead,8.25 mi,3600',17400
Mt. Harvard,South Slopes,13.50 mi,4600',21480
Longs Peak,Keyhole Route,16.00 mi,4579',15300
"Group: Redcloud, Sunshine",Standard route,12.00 mi,4800',23109
Group: Windom Group (4 named 14ers),"Sunshine, Windom, Eolus, N. Eolus from Chicago Basin",15.00 mi,8000',26400
Culebra Peak,Straight up west hill,8.00 mi,3000',11789
Longs Peak,Keyhole Route,15.00 mi,5000',40080
San Luis Peak,Northeast Ridge,13.00 mi,3600',12910
Pikes Peak,Northwest Slopes,13.25 mi,4300',20340
Mt. Massive,East Slopes,13.75 mi,4500',21600
"Group: Castle, Conundrum",standard,8.10 mi,4900',25200
"Group: Evans, Sawtooth, Bierstadt","Guanella,Bierstadt,Sawtooth,Evans,Gully back to Guanella",10.64 mi,4009',24540
Mt. Sherman,Southwest Ridge,8.50 mi,2850',17700
Mt. Sherman,Southwest Ridge,5.75 mi,2100',22800
La Plata Peak,Northwest Ridge,9.50 mi,4500',17520
Mt. Sherman,Southwest Ridge,5.50 mi,2100',13800
Quandary Peak,East Ridge,-,-,31500
Longs Peak,Keyhole Route,-,-,43200
Pikes Peak,Northwest Slopes,13.25 mi,4300',23400
Mt. Elbert,Northeast Ridge,9.00 mi,4700',20700
"Group: Evans, Sawtooth, Bierstadt",Sawtooth,10.25 mi,3900',28200
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron,7.25 mi,3700',16020
Pikes Peak,pike2,13.25 mi,-,22500
La Plata Peak,Southwest Ridge,7.00 mi,3380',19800
Mt. Yale,Southwest Slopes,9.50 mi,4300',518400
Crestone Peak,South Face,-,-,42000
"Group: Democrat, Cameron, Lincoln, Bross",Standard Kite Lake,7.50 mi,3700',21900
Group: Wilson Group (3 named 14ers),2 Wilsons From Silver Pick,-,-,1036800
Mt. Bierstadt,West Slopes,6.00 mi,2770',30600
Quandary Peak,East Ridge,5.50 mi,3370',20700
Mt. Shavano,East Slopes,9.70 mi,4430',25200
Pikes Peak,Northwest Slopes,11.00 mi,4100',21300
Mt. Massive,Southwest Slopes,9.00 mi,4200',20700
La Plata Peak,Southwest Ridge,9.00 mi,3800',21900
Wetterhorn Peak,Southeast Ridge,6.80 mi,3300',12600
San Luis Peak,South Ridge,11.20 mi,3500',21600
"Group: Grays, Torreys",Grays and Torreys,8.28 mi,3733',29035
"Group: Democrat, Cameron, Lincoln, Bross",Democrat Combo,8.66 mi,3805',32851
Mt. Bierstadt,West Slopes,7.37 mi,2850',14700
Mt. Bierstadt,West Slopes,7.00 mi,2850',6840
"Group: Grays, Torreys","Combo: Grays, Torreys",8.25 mi,3600',28800
"Group: Grays, Torreys",kelso ridge,6.75 mi,3500',19800
"Group: Democrat, Cameron, Lincoln, Bross",DeCaLiBron,7.50 mi,3700',16260
"Group: Shavano, Tabeguache",standard,11.25 mi,5600',23100
Missouri Mountain,Northwest Ridge,10.50 mi,4500',15000
Mt. Bierstadt,West Slopes,7.00 mi,2850',15300
North Maroon Peak,Northeast Ridge,9.50 mi,4500',34200
Quandary Peak,East Ridge,6.75 mi,3450',18000
Mt. Bierstadt,West Slopes,7.00 mi,2850',14400
"Group: Grays, Torreys",Grays North/Torreys South,8.80 mi,3560',15300
Longs Peak,Keyhole Route,14.40 mi,5255',28800
"Group: Grays, Torreys",Combo,8.25 mi,3600',16200
Mt. Sherman,Southwest Ridge,5.00 mi,2200',8400
Mt. Elbert,Northeast Ridge,9.00 mi,4700',20700
"Group: Democrat, Cameron, Lincoln, Bross",Combo,7.25 mi,3700',19800
"Group: Grays, Torreys",Stevens Gultch TH,8.25 mi,3600',30300
Pikes Peak,Northwest Slopes,14.00 mi,4300',28500
Mt. Elbert,Northeast Ridge,9.00 mi,4700',14220
Mt. Elbert,Northeast Ridge,9.00 mi,-,12120
"Group: Grays, Torreys",Combo: Grays and Torreys,8.25 mi,3600',21240
"Group: Democrat, Cameron, Lincoln, Bross",Kite Lake,7.25 mi,3700',13500
Uncompahgre Peak,South Ridge,7.55 mi,2910',12120
Wetterhorn Peak,Southeast Ridge,7.78 mi,3524',19020
Quandary Peak,East Ridge,6.59 mi,3450',7900
Mt. Sneffels,South Slopes,6.00 mi,2900',20700
Mt. Yale,Southwest Slopes,9.55 mi,4300',20961
Mt. Bierstadt,West Slopes,7.00 mi,2850',11700
Capitol Peak,Northeast Ridge,4.40 mi,2630',32400
Castle Peak,Northwest Ridge,12.50 mi,5900',28800
Mt. Bierstadt,West Slopes,7.00 mi,2850',23400
Mt. Bierstadt,West Slopes,7.00 mi,2850',26400
Culebra Peak,Northwest Ridge,7.00 mi,3200',21600
Crestone Peak,South Face,18.50 mi,7000',47220
Huron Peak,Northwest Slopes,6.75 mi,3500',24000
"Group: Democrat, Cameron, Lincoln, Bross","Cameron, Lincoln, Bross",6.25 mi,3100',21000
"Group: Grays, Torreys",Standard,8.44 mi,3800',432000
Mt. Massive,Southwest Slopes,-,-,23400
Crestone Needle,South Face,11.00 mi,4200',33300
Grays Peak,North Slopes,8.00 mi,3000',21000
"Group: Shavano, Tabeguache",Standard,11.25 mi,5600',27000
Quandary Peak,West Ridge,-,4000',27000
Mt. Elbert,Northeast Ridge,9.00 mi,4700',28020
Mt. Elbert,Northeast Ridge,-,-,23400
Pikes Peak,Northwest Slopes,-,-,32400
Mt. Evans,West Ridge from Echo Lake,-,-,25200
Longs Peak,Keyhole Route,14.00 mi,5100',36300
Humboldt Peak,West Ridge,12.25 mi,4200',27000
"Group: Grays, Torreys",Kelso Ridge,7.70 mi,3600',11280
Missouri Mountain,West Ridge,5.25 mi,3150',13800
Missouri Mountain,Northwest Ridge,10.30 mi,4300',27240
Quandary Peak,East Ridge,6.31 mi,3176',11100
Mt. Harvard,South Slopes,13.50 mi,4550',22380
Mt. Sherman,Southwest Ridge,4.50 mi,2100',12600
Culebra Peak,Northwest Ridge,5.01 mi,2800',14220
Longs Peak,Keyhole Route,15.00 mi,5100',25020
Crestone Needle,South Face,2.60 mi,2550',13800
Mt. Massive,Southwest Slopes,8.00 mi,3950',15000
Mt. Lindsey,Northwest Gully,8.25 mi,3500',20700
Longs Peak,Keyhole Route,15.00 mi,-,33300
La Plata Peak,Northwest Ridge,9.50 mi,4500',23520
"Group: Belford, Oxford",Standard,11.00 mi,5800',24300
Mt. Bierstadt,West Slopes,7.00 mi,2850',21600
Snowmass Mountain,East Slopes,21.00 mi,5700',55800
Quandary Peak,East Ridge,6.75 mi,3450',19800
Missouri Mountain,Northwest Ridge,10.50 mi,4500',24300
Mt. Bierstadt,West Slopes,8.00 mi,2900',21600
Mt. Elbert,Northeast Ridge,10.00 mi,4700',28800
Mt. Democrat,East Slope,4.50 mi,2300',14400
"Group: Grays, Torreys",Grays Peak,8.25 mi,3600',27000
Mt. Elbert,Southeast Ridge,8.40 mi,3967',28800
"Group: Democrat, Cameron, Lincoln, Bross",Kite Lake,7.50 mi,3700',25200
Mt. Sherman,Southwest Ridge,5.25 mi,2100',11700
Torreys Peak,South Slopes,7.50 mi,3000',23280
Mt. Columbia,West Slopes,-,-,30000
Mt. Yale,Southwest Slopes,-,-,43200
Mt. Elbert,Northeast Ridge,9.00 mi,4500',17400
Mt. Elbert,Northeast Ridge,9.00 mi,4700',10500
Mt. Democrat,East Slope,4.70 mi,2796',24600
Mt. of the Holy Cross,North Ridge to Halo Ridge Loop,14.30 mi,5723',29820
Pikes Peak,Northwest Slopes,14.84 mi,4381',26820
"Group: Grays, Torreys",Standard Routes,8.68 mi,3688',20040
Mt. Sherman,Southwest Ridge,4.86 mi,1962',11280
"Group: Castle, Conundrum",Northeast Ridge from Pearl Pass Junction,7.09 mi,3498',16260
Ridge Traverse: The Crestones ,ellingwood arete traverse to the peak,-,-,1036800
Quandary Peak,East Ridge,6.75 mi,3370',12000
"Group: Democrat, Cameron, Lincoln, Bross",DeCaLiBron,7.25 mi,3700',15000
Quandary Peak,East Ridge,7.00 mi,3450',19800
Capitol Peak,Northeast Ridge,-,-,21600
Pikes Peak,Incline,1.00 mi,1800',1781
Mt. Evans,West Ridge from Echo Lake,9.00 mi,3600',536400
Handies Peak,East Slopes,8.00 mi,3650',19800
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron,7.25 mi,3700',20700
"Group: Harvard, Columbia",Standard,15.00 mi,6100',32400
"Group: Belford, Oxford, Missouri",Standard route with variation,14.50 mi,7000',34800
Grays Peak,North Slopes,7.50 mi,3000',23880
"Group: Democrat, Cameron, Lincoln, Bross",Standard witout Bross,6.60 mi,3200',20400
"Group: Castle, Conundrum",Standard,5.00 mi,3000',18900
Quandary Peak,East Ridge,6.75 mi,3450',14580
"Group: Redcloud, Sunshine",Silver Creek- Standard,12.00 mi,4800',20580
"Group: Redcloud, Sunshine",Silver Creek - Standard,12.00 mi,4800',24600
Quandary Peak,East Ridge,-,3450',29700
Mt. Harvard,"The Hard Way: Harvard, then just missing Columbia after an extra-long traverse",16.50 mi,6500',41400
Handies Peak,Southwest Slopes,7.50 mi,3000',12000
Uncompahgre Peak,South Ridge,7.25 mi,3000',12480
"Group: Redcloud, Sunshine",Redcloud to Sunshine from silver creek,10.00 mi,4800',23400
Pikes Peak,Incline,1.00 mi,1800',1799
Missouri Mountain,Northwest Ridge,9.50 mi,4500',24600
Huron Peak,Northwest Slopes,6.75 mi,3500',14520
Mt. Yale,Southwest Slopes,8.75 mi,4300',28800
Missouri Mountain,Northwest Ridge,10.50 mi,4500',26100
Quandary Peak,East Ridge,6.75 mi,3450',19800
Longs Peak,Keyhole Route,15.00 mi,5100',28800
"Group: Grays, Torreys",Kelso Ridge,8.00 mi,3600',21600
Mt. Sherman,Southwest Ridge,5.80 mi,2300',12240
Mt. Antero,West Slopes,10.00 mi,3469',19080
Mt. Yale,Southwest Slopes,9.00 mi,4300',24000
Handies Peak,Southwest Slopes,7.00 mi,2700',15600
Huron Peak,Northwest Slopes,6.50 mi,3400',18900
"Group: Belford, Oxford",Missouri Gulch,11.00 mi,5000',27480
Mt. Bierstadt,West Slopes,7.00 mi,2850',15300
La Plata Peak,Northwest Ridge,9.50 mi,4500',20700
Mt. Bierstadt,West Slopes,7.00 mi,3000',18000
Mt. Antero,West Slopes,7.00 mi,2269',19800
Quandary Peak,East Ridge,5.60 mi,3325',16740
Mt. Elbert,Northeast Ridge,9.50 mi,4700',25200
"Group: Grays, Torreys",Stevens Gulch Trailhead,9.00 mi,3600',20700
Mt. Shavano,East Slopes,9.70 mi,4600',24300
Mt. Bierstadt,West Slopes,6.50 mi,3100',13380
Mt. Elbert,Northeast Ridge,9.00 mi,4700',28800
Mt. Elbert,Northeast Ridge,9.00 mi,4700',13920
"Group: Redcloud, Sunshine",Silver Creek (Standard Route),12.00 mi,4800',24300
"Group: Belford, Oxford",Belford Northwest Ridge to Oxford,11.00 mi,5800',28800
"Group: Grays, Torreys",Grays Torreys Combo,8.50 mi,3600',21600
Mt. Elbert,Northeast Ridge,10.00 mi,4700',23400
Mt. Massive,East Slopes,13.75 mi,4500',27000
Little Bear Peak,Southwest Ridge,10.00 mi,5500',50400
"Group: Castle, Conundrum",Conundrum Hot Springs,-,-,13500
Pikes Peak,Northwest Slopes,13.90 mi,4500',30000
Quandary Peak,East Ridge,6.40 mi,3887',18180
Tabeguache Peak,Browns Lake,5.00 mi,2800',18000
Mt. Princeton,East slope and Tigger Peak,5.00 mi,3000',18600
Mt. Antero,From Browns Creek,9.00 mi,2800',18000
Mt. Elbert,Northeast Ridge,9.00 mi,4700',21600
Pikes Peak,Northwest Slopes,13.25 mi,4300',30600
Grays Peak,North Slopes,9.00 mi,3000',25200
Quandary Peak,East Ridge,6.00 mi,3450',21600
Mt. Massive,Southwest Slopes,9.00 mi,3950',28800
Mt. Lindsey,Northwest Ridge,8.25 mi,3400',24600
"Group: Shavano, Tabeguache",Shavano/Tabeguache Trailhead,10.75 mi,5600',604800
Mt. Elbert,Northeast Ridge,9.00 mi,4300',21900
Missouri Mountain,West Ridge,-,-,25200
Mt. Harvard,From Pine Creek,-,-,28800
Mt. Elbert,Northeast Ridge,9.00 mi,4700',39300
Mt. Evans,West Ridge via Mt Spalding and 3 subpeaks,9.25 mi,3600',691200
Mt. Massive,East Slopes,13.50 mi,4450',28800
Mt. Elbert,Northeast Ridge,9.00 mi,4400',21180
Mt. Yale,Southwest Slopes,8.75 mi,4300',18000
Missouri Mountain,North Face Couloirs,9.00 mi,4500',28800
Humboldt Peak,West Ridge,16.90 mi,7665',26400
Mt. Yale,Southwest Slopes,8.75 mi,4300',25800
Mt. Bierstadt,West Slopes,-,-,432000
La Plata Peak,Northwest Ridge,9.50 mi,4500',27000
Torreys Peak,Kelso Ridge,9.55 mi,-,468000
Castle Peak,North Face Couloir,10.50 mi,4065',21720
Quandary Peak,East Ridge,7.36 mi,3375',21600
"Group: Shavano, Tabeguache",Mixed route ascent/Angel descent,9.40 mi,5330',815400
Mt. Shavano,East Slopes,9.70 mi,4430',21600
Quandary Peak,East Ridge,6.58 mi,3670',15360
Quandary Peak,South Gully aka Cristo Couloir,2.50 mi,2510',10020
Mt. Sherman,Southwest Ridge,8.00 mi,2850',25200
Mt. Yale,Southwest Slopes,-,-,41400
"Group: Shavano, Tabeguache",East Slope,11.25 mi,5600',691200
Mt. Shavano,Angel of Shavano,7.50 mi,4600',16200
Mt. Sherman,Southwest Ridge,8.00 mi,2800',21600
Missouri Mountain,West Ridge,11.50 mi,4100',42300
Mt. Elbert,Northeast Ridge,9.00 mi,4700',21600
Quandary Peak,East Ridge,7.00 mi,3383',14400
Quandary Peak,East Ridge,6.75 mi,3500',31500
Mt. Elbert,Southeast Ridge,12.00 mi,4900',43200
Handies Peak,Southwest Slopes,7.50 mi,3000',12600
Mt. Yale,East Ridge,9.00 mi,4300',21600
Mt. Bierstadt,West Slopes,7.50 mi,2850',12600
"Group: Democrat, Cameron, Lincoln, Bross",Kite Lake,7.50 mi,3700',18900
Pikes Peak,Northwest Slopes,2.50 mi,1500',259200
La Plata Peak,Northwest Ridge,9.00 mi,4500',21600
"Group: Grays, Torreys",Bakerville,8.50 mi,3600',20700
Quandary Peak,East Ridge,7.00 mi,3450',17100
Pikes Peak,Northwest Slopes,-,-,777600
Quandary Peak,East Ridge,7.00 mi,3450',30600
Mt. Bierstadt,West Slopes,7.00 mi,2850',21600
Mt. Elbert,Northeast Ridge,9.00 mi,4700',28800
Mt. Sherman,South Slope,8.50 mi,3100',22800
Mt. of the Holy Cross,North Ridge Including Holy Cross Ridge,13.20 mi,6106',30900
Mt. Sherman,Southwest Ridge,7.25 mi,3000',20700
Mt. Yale,Southwest Slopes,8.75 mi,4300',17160
"Group: Belford, Oxford, Missouri",Missouri Gulch,16.00 mi,7300',33240
Quandary Peak,East Ridge,7.00 mi,3450',18000
Mt. Bross,East Slopes from Mineral Park,9.00 mi,2900',16200
Mt. Evans,West Ridge from Echo Lake,13.00 mi,3200',43200
Pikes Peak,Northwest Slopes,15.00 mi,4300',27000
"Group: Blanca, Ellingwood",Winter route,16.50 mi,6800',37800
Mt. Elbert,East Ridge,9.00 mi,4700',16260
Quandary Peak,East Ridge,6.75 mi,3450',27300
Quandary Peak,East Ridge,6.75 mi,3650',12840
Mt. Bierstadt,West Slopes,6.00 mi,2800',18000
Pyramid Peak,Northeast Ridge,8.00 mi,4450',38280
Maroon Peak,South Ridge,11.00 mi,4600',44100
Ellingwood Point,South Face,14.60 mi,6000',38100
Torreys Peak,Kelso Ridge,7.00 mi,3040',21780
Mt. Harvard,South Slopes,13.50 mi,4600',18729
Huron Peak,Southwest Slopes,8.75 mi,3600',21000
Mt. Sherman,Southwest Ridge,8.50 mi,2850',13800
"Group: Democrat, Cameron, Lincoln, Bross",Standard from Kite Lake,7.00 mi,3700',16200
Mt. Sherman,Southwest Ridge,10.50 mi,3100',17789
Quandary Peak,East Ridge,6.75 mi,3450',14664
"Group: Democrat, Cameron, Lincoln, Bross",Kite Lake,7.75 mi,3950',16554
Mt. Sherman,Southwest Ridge,5.25 mi,2100',14040
Mt. Belford,Northwest Ridge,8.00 mi,4500',32400
Mt. of the Holy Cross,North Ridge,11.50 mi,5600',41400
Castle Peak,Northwest Ridge,1.50 mi,1465',24300
Pikes Peak,Northwest Slopes,13.25 mi,4300',23100
Mt. Harvard,South Slopes,13.50 mi,4600',23100
Quandary Peak,East Ridge,7.00 mi,3450',13500
Mt. Sherman,Southwest Ridge,8.50 mi,2850',8520
"Group: Evans, Sawtooth, Bierstadt",Regular Combo,13.50 mi,4500',31800
"Group: Grays, Torreys",Standard Combo,8.25 mi,3600',15300
"Group: Democrat, Cameron, Lincoln, Bross",Standard from Kite Lake,6.25 mi,3600',11700
Longs Peak,Keyhole Route,-,-,38100
Pyramid Peak,Northeast Ridge,8.00 mi,4500',36000
Missouri Mountain,Northwest Ridge,10.50 mi,4500',25200
La Plata Peak,Northwest Ridge,9.50 mi,4500',27240
Mt. Oxford,From Missouri,8.50 mi,2590',28800
Missouri Mountain,Northwest Ridge,6.70 mi,4500',23700
Longs Peak,Keyhole Route,14.00 mi,5100',44100
Mt. Lindsey,Northwest Gully,8.50 mi,3600',27000
"Group: Grays, Torreys",Standard,8.25 mi,3600',16200
Capitol Peak,Northeast Ridge,17.00 mi,5300',29100
Quandary Peak,East Ridge,6.75 mi,3450',16200
Torreys Peak,Kelso Ridge,6.75 mi,3040',7440
"Group: Belford, Oxford","Standard up, Elkhead Ridge down",13.00 mi,5700',27000
La Plata Peak,Northwest Ridge,9.50 mi,4500',24900
Mt. Yale,Southwest Slopes,8.75 mi,4300',17100
"Group: Democrat, Cameron, Lincoln, Bross",standardd,-,-,20700
Maroon Peak,South Ridge,12.00 mi,4800',37800
"Group: Grays, Torreys",Standard,8.50 mi,3600',16800
Mt. Elbert,East Ridge,9.50 mi,4700',22200
Longs Peak,Keyhole Route,14.00 mi,5100',28200
Quandary Peak,East Ridge,6.66 mi,3375',18900
Mt. Belford,Northwest Ridge,9.50 mi,4500',28800
Group: Windom Group (4 named 14ers),"eolus first, sunlight, then windom from campsite.",7.00 mi,17000',36000
La Plata Peak,Ellingwood Ridge,10.00 mi,14000',52200
"Group: Grays, Torreys",Kelso Ridge,7.00 mi,3600',13200
Longs Peak,Keyhole Route,-,-,36000
"Group: Shavano, Tabeguache",Tabeguache via Shavano,11.25 mi,5600',34020
Mt. Elbert,Northeast Ridge,9.40 mi,4600',24600
Pikes Peak,Northwest Slopes,13.25 mi,4300',691200
Group: Windom Group (4 named 14ers),Purgatory TH,42.00 mi,12000',70920
"Group: Crestone Peak, Crestone Needle",Needle: SE Ridge.  Peak: Red Gully,16.00 mi,7300',31320
Torreys Peak,South Slopes,7.50 mi,3000',21600
"Group: Evans, Sawtooth, Bierstadt",Combo: Bierstadt + Sawtooth + Evans,10.25 mi,3900',27000
"Group: Grays, Torreys",Combination: Grays + Torreys,8.25 mi,3600',15000
Mt. Sneffels,Southwest Ridge,-,2950',11220
Missouri Mountain,West Ridge,5.25 mi,3150',14400
Mt. Elbert,East Ridge,9.40 mi,4500',28200
"Group: Belford, Oxford, Missouri","Missouri, Oxford, Belford",15.00 mi,7400',50400
Mt. Bierstadt,West Slopes,7.00 mi,2850',10200
"Group: Harvard, Columbia",Traverse,15.80 mi,6100',62400
"Group: Belford, Oxford",standard,11.00 mi,5800',28800
Mt. Elbert,Northeast Ridge,9.00 mi,4700',32400
Quandary Peak,East Ridge,6.75 mi,3450',30720
La Plata Peak,Southwest Ridge,8.70 mi,3650',727200
Mt. Princeton,East Slopes,5.75 mi,3000',13800
Mt. Bierstadt,West Slopes,7.00 mi,2850',19800
Mt. Evans,West Ridge from Summit Lake,18.50 mi,5600',39600
Mt. Yale,Southwest Slopes,8.75 mi,4300',25200
La Plata Peak,Northwest Ridge,9.50 mi,4500',24600
Mt. Massive,Southwest Slopes,7.80 mi,3950',27900
Mt. of the Holy Cross,North Ridge,11.50 mi,5600',23400
Handies Peak,Southwest Slopes,5.60 mi,2500',10200
Capitol Peak,Northeast Ridge,16.00 mi,5200',45000
Mt. of the Holy Cross,North Ridge,11.50 mi,5600',38400
Wetterhorn Peak,Southeast Ridge,7.25 mi,3220',19800
Mt. Lindsey,Northwest Gully,8.25 mi,3500',32400
Mt. Yale,Southwest Slopes,8.75 mi,4300',25200
"Group: Shavano, Tabeguache",standard,11.25 mi,5600',26400
Quandary Peak,East Ridge,6.75 mi,3450',16140
Uncompahgre Peak,South Ridge,7.75 mi,3000',18000
Quandary Peak,East Ridge,6.75 mi,3450',18600
"Group: Democrat, Cameron, Lincoln, Bross",Standard Combo,7.25 mi,3700',17400
La Plata Peak,Ellingwood Ridge,11.65 mi,5200',34200
"Group: Belford, Oxford",Northwest ridge,11.00 mi,5900',39060
"Group: Harvard, Columbia",Harvard to Columbia,15.00 mi,6100',30480
Mt. of the Holy Cross,North Ridge,11.50 mi,5320',22980
Mt. Elbert,Northeast Ridge,9.00 mi,4700',20100
"Group: Democrat, Cameron, Lincoln, Bross",Standard,7.50 mi,4500',15600
Missouri Mountain,Northwest Ridge,10.50 mi,4500',19800
Pyramid Peak,Northeast Ridge,-,-,34200
Huron Peak,Northwest Slopes,-,-,25200
San Luis Peak,South Ridge,11.18 mi,3600',19800
Mt. Sherman,Southwest Ridge,4.85 mi,2100',8340
Mt. Yale,Southwest Slopes,8.75 mi,4300',14520
Mt. Massive,Southwest Slopes,7.65 mi,3900',20520
North Maroon Peak,Northeast Ridge,9.25 mi,4500',28800
"Group: Harvard, Columbia",Cttnwd Crk TH,15.00 mi,6100',45000
Missouri Mountain,Northwest Ridge,10.50 mi,4500',23400
